question,slug,status,row_count,error
What was the average spot price in each NEM region over the last 7 days?,what-was-the-average-spot-price-in-each-nem-region-over-the-last-7-days,ready,5,
Which region had the highest average spot price this week?,which-region-had-the-highest-average-spot-price-this-week,ready,1,
How volatile were 5-minute prices in each region over the past week?,how-volatile-were-5-minute-prices-in-each-region-over-the-past-week,ready,5,
What was the maximum spot price spike in each region in the last 30 days and when did it happen?,what-was-the-maximum-spot-price-spike-in-each-region-in-the-last-30-days-and-when-did-it-happen,ready,5,
How many intervals had negative spot prices in each region this month?,how-many-intervals-had-negative-spot-prices-in-each-region-this-month,error,1,"Received ClickHouse exception, code: 60, server response: Code: 60. DB::Exception: Unknown table expression identifier 'semantic.dispatch_price_vf_5' in scope SELECT * FROM semantic.dispatch_price_vf_5. (UNKNOWN_TABLE) (version 25.2.2.39 (official build)) (for url http://127.0.0.1:8123)"
What was the daily regional demand (MWh) over the last 7 days?,what-was-the-daily-regional-demand-mwh-over-the-last-7-days,error,1,"Received ClickHouse exception, code: 60, server response: Code: 60. DB::Exception: Unknown table expression identifier 'semantic.dregion_vf_3' in scope SELECT * FROM semantic.dregion_vf_3. (UNKNOWN_TABLE) (version 25.2.2.39 (official build)) (for url http://127.0.0.1:8123)"
Which region had the biggest demand forecast error each day in the last 30 days?,which-region-had-the-biggest-demand-forecast-error-each-day-in-the-last-30-days,ready,11,
What was the peak demand in each region this week and when did it occur?,what-was-the-peak-demand-in-each-region-this-week-and-when-did-it-occur,ready,5,
How does weekday demand compare to weekend demand by region?,how-does-weekday-demand-compare-to-weekend-demand-by-region,ready,10,
What is the average demand shape by hour of day for each region?,what-is-the-average-demand-shape-by-hour-of-day-for-each-region,ready,120,
Which DUIDs produced the most energy (MWh) yesterday?,which-duids-produced-the-most-energy-mwh-yesterday,ready,20,
Which DUIDs had the highest peak dispatch target in the last 24 hours?,which-duids-had-the-highest-peak-dispatch-target-in-the-last-24-hours,ready,20,
What was the SCADA output profile of the top 10 generators over the last day?,what-was-the-scada-output-profile-of-the-top-10-generators-over-the-last-day,ready,300,
Which generators were dispatched above 90% of their registered capacity?,which-generators-were-dispatched-above-90-of-their-registered-capacity,ready,50,
Which generators had the largest ramp rates in the last 24 hours?,which-generators-had-the-largest-ramp-rates-in-the-last-24-hours,ready,20,
How much energy did each fuel type produce by region over the last 7 days?,how-much-energy-did-each-fuel-type-produce-by-region-over-the-last-7-days,ready,16,
